stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt
1,2,10,0.0400306,,0.0212795,0.0400306,0.7033333,0.7033333,0.7200729,1.009685,7.444936,left,10,0,0,6.7376099
2,1,12,7.4691871,,7.4452359,7.4691871,7.9675559,7.9675559,7.9884053,8.2728724,8.5755856,right,12,1,1,0.5990786
3,1,11,8.6006613,,8.5758551,8.6006613,9.1047013,9.1047013,9.1047013,9.4064017,9.6087459,left,11,1,1,0.4888014
4,1,11,9.6339366,,9.6090455,9.6339366,10.134316,10.134316,10.1551893,10.4381527,10.8934121,left,11,1,1,0.7488678
5,1,11,10.9169786,,10.89368,10.9169786,11.4167617,11.4167617,11.4378757,11.7220947,11.8912888,right,11,1,1,0.465708
6,1,10,11.9164947,,11.8915774,11.9164947,12.4162744,12.4162744,12.4388475,12.737806,12.8906668,left,10,1,1,0.4606668
7,1,10,12.9170554,,12.8909381,12.9170554,13.4168626,13.4168626,13.437143,13.7210591,13.824024,left,10,1,1,0.3951913
8,1,10,13.849212,,13.8243139,13.849212,14.3490151,14.3490151,14.3703227,14.6529953,14.8070123,left,10,1,1,0.4456739
9,1,9,14.8323574,,14.8073034,14.8323574,15.3204449,15.3204449,15.3369532,15.635376,15.838355,right,9,1,1,0.5139395
10,1,9,15.865423,,15.8385913,15.865423,16.3528915,16.3528915,16.3686501,16.6527292,16.8721475,left,9,1,1,0.5046115
11,1,9,16.8983102,,16.8724264,16.8983102,17.3976788,17.3976788,17.4198315,17.7031503,17.8048788,left,9,1,1,0.3904653
12,1,8,17.8308286,,17.805153,17.8308286,18.3186823,18.3186823,18.3345496,18.6190147,18.8891272,left,8,1,1,0.55485
13,1,8,18.9147188,,18.8893953,18.9147188,19.4142153,19.4142153,19.4371601,19.7189546,19.8218796,left,8,1,1,0.400568
14,1,8,19.8480107,,19.8221636,19.8480107,20.3346278,20.3346278,20.3513095,20.6346403,20.6377936,left,8,1,1,0.2922199
15,1,7,20.6639962,,20.6380555,20.6639962,21.1634444,21.1634444,21.184334,,21.4389366,right,7,0,0,0.2698015
16,1,8,21.46455,,21.4392292,21.46455,21.9513846,21.9513846,21.9671368,22.2501844,22.5375718,left,8,1,1,0.5728674
17,1,8,22.5630917,,22.5378331,22.5630917,23.0627371,23.0627371,23.0837644,23.3671488,24.1038041,left,8,1,1,1.0302917
18,0.5,8,24.128798,,24.1040708,24.128798,24.6301915,24.6301915,24.6502742,24.9329371,25.2709353,right,8,1,1,0.6344834
19,0.5,7.5,25.2954868,,25.2712146,25.2954868,25.7958138,25.7958138,25.8165368,26.0998246,26.570517,left,7.5,1,1,0.7622583
20,0.5,7.5,26.5936571,,26.5708209,26.5936571,27.0832748,27.0832748,27.0975325,27.3836467,27.6861151,right,7.5,1,1,0.5926322
21,0.5,7.5,27.7118983,,27.686383,27.7118983,28.1983576,28.1983576,28.2143785,28.498842,28.7021188,left,7.5,1,1,0.4879041
22,0.5,7,28.7277287,,28.7024233,28.7277287,29.2271504,29.2271504,29.2493925,29.5320412,29.8855072,right,7,1,1,0.6473883
23,0.5,7,29.9105226,,29.8857614,29.9105226,30.4148828,30.4148828,30.4148828,30.7157912,30.8328903,left,7,1,1,0.4085775
24,0.5,7,30.8605611,,30.8331346,30.8605611,31.3431768,31.3431768,31.3645971,31.6476391,31.8324314,right,7,1,1,0.4718621
25,0.5,6.5,31.8467706,,31.8326602,31.8467706,32.3492136,32.3492136,32.3492136,32.6650217,32.8180162,left,6.5,1,1,0.4653227
26,0.5,6.5,32.8446104,,32.8182939,32.8446104,33.3436215,33.3436215,33.3644486,33.6472233,33.8175628,left,6.5,1,1,0.4572547
27,0.5,6.5,33.8430507,,33.8178216,33.8430507,34.3427605,34.3427605,34.3638067,34.6456017,34.8316034,left,6.5,1,1,0.4785223
28,0.5,6,34.8590981,,34.8318406,34.8590981,35.345519,35.345519,35.3628865,35.6458227,35.9347957,right,6,1,1,0.5860523
29,0.5,6,35.9589771,,35.9350511,35.9589771,36.4447784,36.4447784,36.462032,36.7473875,37.0790389,right,6,1,1,0.6043194
30,0.5,6,37.0963646,,37.0793074,37.0963646,37.5918949,37.5918949,37.6134276,37.895548,38.2822544,right,6,1,1,0.6794096
31,0.5,5.5,38.3082329,,38.2825199,38.3082329,38.7956751,38.7956751,38.8115742,39.0956683,39.2817603,right,5.5,1,1,0.4775337
32,0.5,5.5,39.3082809,,39.2820284,39.3082809,39.8076222,39.8076222,39.8300141,,40.0326022,right,5.5,1,1,0.20908
33,0.5,5.5,40.0576024,,40.0328668,40.0576024,40.5572728,40.5572728,40.5784545,40.8613041,42.1157591,right,5.5,1,1,1.5488777
34,0.5,5,42.1401846,,42.1160475,42.1401846,42.6403181,42.6403181,42.6615016,42.9453103,43.4810569,right,5,1,1,0.8330623
35,0.5,5,43.5067989,,43.4813557,43.5067989,44.0056824,44.0056824,44.0268005,44.3110485,44.7140515,left,5,1,1,0.6910592
36,0.5,5,44.7394417,,44.7143257,44.7394417,45.225235,45.225235,45.241609,45.5259839,46.4134149,left,5,1,1,1.184878
37,0.5,4.5,46.4386049,,46.4136896,46.4386049,46.9248186,46.9248186,46.9422648,47.2258394,48.0465542,right,4.5,0,0,1.111649
38,0.5,5,48.0715827,,48.0468349,48.0715827,48.5707174,48.5707174,48.5922587,48.8753204,49.1616586,right,5,1,1,0.5794893
39,0.5,5,49.1878857,,49.1619216,49.1878857,49.6875794,49.6875794,49.7086303,50.0082006,50.7610882,right,5,1,1,1.0667815
40,0.5,5,50.7872471,,50.7613585,50.7872471,51.2869895,51.2869895,51.307758,51.5919191,51.8962151,left,5,1,1,0.6042574
41,0.5,4.5,51.9214661,,51.8964937,51.9214661,52.4070284,52.4070284,52.4235804,52.7074843,53.4429858,left,4.5,1,1,1.0209221
42,0.5,4.5,53.469583,,53.4432457,53.469583,53.9561926,53.9561926,53.9729853,54.2562199,54.4925266,right,4.5,1,1,0.5218221
43,0.5,4.5,54.5188238,,54.4927833,54.5188238,55.0188868,55.0188868,55.0407316,55.3231886,55.6103084,right,4.5,1,1,0.5832633
44,0.5,4,55.6354144,,55.6106193,55.6354144,56.1361976,56.1361976,56.1560023,56.4394718,56.8262029,right,4,1,1,0.6789914
45,0.5,4,56.8520395,,56.8264716,56.8520395,57.3524418,57.3524418,57.3722506,57.6552753,58.6254063,right,4,1,1,1.2634418
46,0.5,4,58.6512089,,58.6257019,58.6512089,59.150651,59.150651,59.1728792,59.4551014,59.5093489,right,4,0,0,0.353178
47,0.5,4.5,59.5337405,,59.5097711,59.5337405,60.0342239,60.0342239,60.0549153,60.337344,60.5441102,left,4.5,1,1,0.5030417
48,0.5,4.5,60.5674748,,60.5443807,60.5674748,61.0667305,61.0667305,61.0888686,61.3713191,61.5235984,right,4.5,1,1,0.4414044
49,0.5,4.5,61.5503743,,61.5239103,61.5503743,62.0500724,62.0500724,62.0722161,62.3566199,62.5594234,left,4.5,1,1,0.4949595
50,0.5,4,62.5835687,,62.559739,62.5835687,63.0827063,63.0827063,63.1047258,63.3880586,63.5732848,left,4,1,1,0.4756372
51,0.5,4,63.5990074,,63.5735422,63.5990074,64.0994745,64.0994745,64.120637,64.4050877,64.5404006,left,4,1,1,0.4327649
52,0.5,4,64.5654563,,64.5406572,64.5654563,65.0533134,65.0533134,65.0696391,65.3538841,65.5734791,right,4,1,1,0.5095517
53,0.5,3.5,65.598454,,65.5737416,65.598454,66.0985716,66.0985716,66.1191543,66.4013159,66.6375611,right,3.5,1,1,0.5314392
54,0.5,3.5,66.6649446,,66.6377825,66.6649446,67.1524451,67.1524451,67.168774,67.4687918,67.7221334,right,3.5,1,1,0.5509626
55,0.5,3.5,67.7470725,,67.7224022,67.7470725,68.2339866,68.2339866,68.2507704,68.5355899,68.8071835,left,3.5,1,1,0.5645153
56,0.5,3,68.8305805,,68.8074684,68.8305805,69.3174184,69.3174184,69.3339315,69.6181285,69.9389374,right,3,1,1,0.6153874
57,0.5,3,69.9632032,,69.9392001,69.9632032,70.4639502,70.4639502,70.4850531,70.7668088,70.9042176,right,3,1,1,0.426102
58,0.5,3,70.9305598,,70.9044911,70.9305598,71.4298814,71.4298814,71.4507579,71.7335729,71.9541431,left,3,1,1,0.5120518
59,0.5,2.5,71.9812538,,71.9544115,71.9812538,72.4637631,72.4637631,72.482146,72.7671176,72.9697922,right,2.5,1,1,0.4877097
60,0.5,2.5,72.9964193,,72.970064,72.9964193,73.4959309,73.4959309,73.5169984,73.7999473,74.2541029,left,2.5,1,1,0.7492238
61,0.5,2.5,74.2798988,,74.2543742,74.2798988,74.7790772,74.7790772,74.8000469,75.0833186,75.1701962,left,2.5,0,0,0.3803565
62,0.5,3,75.1957112,,75.1704854,75.1957112,75.6816773,75.6816773,75.6983929,75.9835049,76.4521046,right,3,1,1,0.7547083
63,0.5,3,76.4788149,,76.4524059,76.4788149,76.9804984,76.9804984,76.9984389,77.2828642,77.6804058,right,3,1,1,0.6708277
64,0.5,3,77.6986081,,77.680672,77.6986081,78.1986133,78.1986133,78.1986133,78.4993802,79.3515263,right,3,1,1,1.139189
65,0.5,2.5,79.3771785,,79.3518113,79.3771785,79.8775381,79.8775381,79.8973912,80.1810707,80.4177556,right,2.5,1,1,0.5273188
66,0.5,2.5,80.4446101,,80.4180183,80.4446101,80.9432979,80.9432979,80.9652357,81.2472997,81.4174497,right,2.5,1,1,0.4682133
67,0.5,2.5,81.4429891,,81.4177618,81.4429891,81.9431052,81.9431052,81.9649117,82.2472824,82.3850232,left,2.5,0,0,0.4240443
68,0.5,3,82.4104322,,82.385313,82.4104322,82.9101284,82.9101284,82.9299399,83.2145758,83.5017438,left,3,0,0,0.5791028
69,0.5,3.5,83.5256677,,83.5020225,83.5256677,84.0254529,84.0254529,84.0476572,84.3299419,84.6666333,right,3.5,1,1,0.6355908
70,0.5,3.5,84.6929995,,84.666902,84.6929995,85.1918528,85.1918528,85.2133149,85.4957641,85.7821319,right,3.5,1,1,0.5730302
71,0.5,3.5,85.8107839,,85.7824087,85.8107839,86.3084541,86.3084541,86.330186,86.6122301,87.2819192,left,3.5,0,0,0.9592297
72,0.5,4,87.3082101,,87.282215,87.3082101,87.8077609,87.8077609,87.8284638,88.1125744,88.1326974,left,4,0,0,0.3097464
73,0.5,4.5,88.15754,,88.133,88.15754,88.6439708,88.6439708,88.6604305,88.9445809,90.614771,left,4.5,0,0,1.9637965
74,0.5,5,90.6407371,,90.6151488,90.6407371,91.1401599,91.1401599,91.161885,91.4455502,91.7471214,left,5,1,1,0.5987176
75,0.5,5,91.7732529,,91.747413,91.7732529,92.273004,92.273004,92.2936614,92.5766695,93.5974745,right,5,0,0,1.3089165
76,0.5,5.5,93.622725,,93.5977533,93.622725,94.1220411,94.1220411,94.1436844,94.4269426,94.613958,left,5.5,1,1,0.4764217
77,0.5,5.5,94.6392751,,94.614215,94.6392751,95.1255243,95.1255243,95.1422346,95.4263353,95.7303112,left,5.5,1,1,0.5929282
78,0.5,5.5,95.7546878,,95.7305923,95.7546878,96.2433202,96.2433202,96.2598251,96.5430644,96.8637572,right,5.5,1,1,0.6172592
79,0.5,5,96.887564,,96.864033,96.887564,97.3747542,97.3747542,97.3920664,97.6767345,98.0962101,right,5,1,1,0.7174973
80,0.5,5,98.1219403,,98.0964651,98.1219403,98.6210454,98.6210454,98.6416411,98.925384,98.9937708,left,5,0,0,0.3585115
81,0.5,5.5,99.0201461,,98.9940092,99.0201461,99.5070949,99.5070949,99.5241322,99.8082488,100.7115738,left,5.5,0,0,1.20125
82,0.5,6,100.7364413,,100.7118692,100.7364413,101.2365394,101.2365394,101.2580443,101.5405626,101.6107014,right,6,1,1,0.3695853
83,0.5,6,101.636203,,101.6109581,101.636203,102.1226651,102.1226651,102.1403891,102.4424045,102.8590993,left,6,0,0,0.7278877
84,0.5,6.5,102.8850325,,102.8593385,102.8850325,103.3721694,103.3721694,103.3890371,103.6738005,103.8429874,right,6.5,0,0,0.4611738
85,0.5,7,103.8686562,,103.843261,103.8686562,104.3565855,104.3565855,104.3732542,104.6571771,104.9762738,right,7,0,0,0.616499
86,0.5,7.5,105.0020507,,104.9765525,105.0020507,105.4895039,105.4895039,105.5050504,105.789019,105.8584964,left,7.5,0,0,0.3514773
87,0.5,8,105.8846046,,105.8587608,105.8846046,106.3843162,106.3843162,106.4062451,106.6894556,107.0924085,right,8,1,1,0.6960106
88,0.5,8,107.1188729,,107.0926891,107.1188729,107.6174801,107.6174801,107.6379584,107.9224514,107.9599115,right,8,1,1,0.3388215
89,0.5,8,107.9841,,107.9601787,107.9841,108.4728738,108.4728738,108.4886168,108.7843405,108.8285747,left,8,0,0,0.3442876
90,0.5,8.5,108.8507173,,108.8291821,108.8507173,109.3554107,109.3554107,109.3712954,109.655079,109.8588799,right,8.5,1,1,0.4995329
91,0.5,8.5,109.8834989,,109.8591422,109.8834989,110.383644,110.383644,110.404655,110.6874494,110.9579844,right,8.5,1,1,0.5597013
92,0.5,8.5,110.9830096,,110.9582506,110.9830096,111.4675187,111.4675187,111.4845479,111.7707967,111.8018022,left,8.5,0,0,0.305395
93,0.5,9,111.8207031,,111.80209,111.8207031,112.3158009,112.3158009,112.3361048,112.6201378,112.9730785,left,9,0,0,0.6410441
94,0.5,9.5,112.999655,,112.973452,112.999655,113.485536,113.485536,113.5023527,113.785094,114.1548148,right,9.5,1,1,0.6577057
95,0.5,9.5,114.1816109,,114.1550396,114.1816109,114.6692249,114.6692249,114.6855992,114.9700372,115.1737368,right,9.5,1,1,0.5005988
96,0.5,9.5,115.1980549,,115.1740169,115.1980549,115.6850936,115.6850936,115.7015076,115.9869829,116.5400014,left,9.5,1,1,0.8382145
97,0.5,9,116.5656602,,116.5402845,116.5656602,117.0526665,117.0526665,117.0694886,117.3525099,117.6725795,left,9,1,1,0.6074642
98,0.5,9,117.6981,,117.6728646,117.6981,118.1969542,118.1969542,118.2174907,118.5018331,118.7397062,left,9,1,1,0.5249245
99,0.5,9,118.7638682,,118.7399833,118.7638682,119.2504881,119.2504881,119.2674656,119.5512127,119.6382729,right,9,0,0,0.3731413
100,0.5,9.5,119.663444,,119.6385588,119.663444,120.1631316,120.1631316,120.1829314,120.4674741,120.8213846,left,9.5,1,1,0.6438435
